sme_id,supplier_name,location,material,year,month,monthly_production_kg,water_consumption_liters,energy_consumption_kwh,waste_generation_kg,scope2_ghg_kgco2e,scope1_3_ghg_kgco2e_placeholder_v1,total_ghg_kgco2e_placeholder_v1,scope1_3_ghg_kgco2e,total_ghg_kgco2e
SME0001,Emco textiles,Jetpur,Cotton,2025,3,611.8,66694.9,5121.5,37.8,3277.76,683.65,3961.41,10329.01,13606.77
SME0002,Shree fabrics,Pali,Cotton,2025,5,222.0,22019.1,1716.9,11.9,1098.84,274.44,1373.28,3748.02,4846.86
SME0003,Shree Ram textiles,Erode,Cotton,2025,12,1457.3,155419.4,10987.7,79.1,7032.11,1638.03,8670.14,24603.58,31635.69
SME0004,Sri Lakshmi silks,Surat,Silk,2025,12,948.5,128248.6,10296.3,47.8,6589.63,1859.01,8448.64,17981.08,24570.71
SME0005,Vasanth textiles,Tirupur,Cotton,2025,4,1462.7,138452.5,10743.5,90.9,6875.83,1713.98,8589.81,24694.75,31570.58
SME0006,RR Textiles,Surat,Cotton,2025,4,921.2,83763.8,7528.1,49.8,4817.99,1009.28,5827.27,15552.61,20370.6
SME0007,Sai Ram fabrics,Tirupur,Cotton,2025,12,1417.9,143584.7,11083.3,72.7,7093.28,1609.9,8703.19,23938.39,31031.67
SME0008,Ravi textiles,Surat,Chiffon,2025,4,705.0,42361.0,8451.8,42.5,5409.18,1830.51,7239.69,10984.53,16393.71
SME0009,RSN textiles,Erode,Cotton,2025,2,338.8,35610.3,2669.8,18.5,1708.69,412.06,2120.76,5719.96,7428.65
SME0010,Sri Velavan textiles,Erode,Cotton,2025,8,1180.7,128448.3,10191.5,72.9,6522.54,1536.39,8058.93,19933.75,26456.29
SME0011,Sathya textiles,Pali,Cotton,2025,5,890.0,89370.8,7776.7,58.9,4977.09,1120.83,6097.92,15025.86,20002.95
SME0012,Swastik textiles,Jaipur,Rayon,2025,1,913.2,109799.2,10260.2,51.1,6566.55,1576.78,8143.34,16402.16,22968.71
SME0013,Vimal textiles,Ahmedabad,Cotton,2025,3,102.2,10063.4,800.4,5.8,512.26,110.72,622.98,1725.44,2237.7
SME0014,Amrit textiles,Surat,Silk,2025,9,1083.7,170000.3,13709.9,47.3,8774.36,2106.05,10880.41,20544.11,29318.47
SME0015,Sadhna textiles,Jaipur,Linen,2025,8,1379.2,132817.9,9556.8,60.6,6116.35,1343.57,7459.92,23285.02,29401.37
SME0016,Sri textiles,Karur,Cotton,2025,3,1025.6,104432.7,7835.1,62.7,5014.48,1201.9,6216.38,17315.19,22329.67
SME0017,Rajesh textiles,Pali,Georgette,2025,10,1160.3,76343.8,14678.2,81.1,9394.03,2797.38,12191.41,18078.51,27472.54
SME0018,Amba textiles,Bhagalpur,Cotton,2025,4,116.1,10699.5,841.8,7.3,538.73,134.15,672.87,1960.12,2498.85
SME0019,Manav textiles,Surat,Silk,2025,7,1368.7,195010.7,16130.0,73.7,10323.21,2588.92,12912.13,25946.97,36270.18
SME0020,Sharma textiles,Ludhiana,Wool,2025,6,491.4,54972.6,5336.3,32.2,3415.24,857.67,4272.9,8754.58,12169.82
SME0021,Shree fabrics,Surat,Linen,2025,7,728.3,61855.9,5013.0,40.6,3208.3,702.71,3911.02,12295.88,15504.18
SME0022,Sri Kashmir Handlooms,Srinagar,Pashmina,2025,4,1352.4,182444.3,13716.2,62.1,8778.36,2532.1,11310.46,24093.8,32872.16
SME0023,Om textiles,Jaipur,Chiffon,2025,1,580.6,36265.5,6499.9,41.1,4159.95,1389.21,5549.16,9046.27,13206.22
SME0024,RR textiles,Ludhiana,Wool,2025,9,250.2,29048.9,2723.6,14.2,1743.12,426.94,2170.06,4457.46,6200.58
SME0025,Balaji textiles,Surat,Silk,2025,3,653.4,89481.0,7454.9,30.2,4771.14,1358.11,6129.24,12386.75,17157.89
SME0026,Denim World,Bangalore,Denim,2025,6,507.2,63098.6,4142.0,31.4,2650.88,811.95,3462.83,10132.73,12783.61
SME0027,Swastik textiles,Jaipur,Cotton,2025,10,126.9,12296.8,1042.5,8.0,667.19,153.22,820.41,2142.45,2809.64
SME0028,Leather Craft India,Kanpur,Leather,2025,6,1479.6,308719.2,27549.7,159.6,17631.8,6308.83,23940.63,45325.47,62957.27
SME0029,Royal Fabrics,Ahmedabad,Linen,2025,1,602.3,55641.4,4328.7,30.4,2770.36,552.95,3323.31,10168.62,12938.98
SME0030,Vasanth Textiles,Tirupur,Cotton,2025,4,294.0,29448.2,2444.1,19.5,1564.23,340.52,1904.75,4963.6,6527.83
SME0031,Sadhna Textiles,Jaipur,Linen,2025,1,103.6,9346.6,685.5,5.4,438.74,96.85,535.59,1749.08,2187.82
SME0032,Sri Velavan Textiles,Erode,Cotton,2025,2,644.6,64688.9,5505.1,40.7,3523.26,809.91,4333.17,10882.78,14406.04
SME0033,Vimal Textiles,Ahmedabad,Rayon,2025,9,1393.1,164805.8,14582.2,87.6,9332.63,2666.67,11999.3,25021.73,34354.36
SME0034,Balaji Textiles,Surat,Silk,2025,11,813.6,116202.3,10732.2,46.4,6868.61,1646.17,8514.78,15423.73,22292.34
SME0035,Manav Textiles,Surat,Silk,2025,6,348.0,49891.4,4343.3,19.2,2779.74,745.6,3525.34,6597.17,9376.91
SME0036,Ravi Textiles,Surat,Chiffon,2025,4,1187.4,79373.4,13063.7,74.7,8360.77,3076.92,11437.68,18500.75,26861.52
